frame,x,y,visible
1,,,0
2,,,0
3,2091,162,1
4,,,0
5,,,0
6,,,0
7,,,0
8,,,0
9,,,0
10,,,0
11,,,0
12,,,0
13,,,0
14,,,0
15,,,0
16,,,0
17,2092,166,1
18,,,0
19,,,0
20,,,0
21,,,0
22,,,0
23,,,0
24,,,0
25,2092,166,1
26,2092,166,1
27,2092,166,1
28,2092,166,1
29,2092,166,1
30,2092,166,1
31,2092,166,1
32,,,0
33,2092,166,1
34,,,0
35,2092,166,1
36,2091,164,1
37,2092,166,1
38,2093,166,1
39,2092,166,1
40,2093,166,1
41,2093,166,1
42,2093,166,1
43,2093,166,1
44,2092,166,1
45,,,0
46,,,0
47,,,0
48,,,0
49,,,0
50,,,0
51,,,0
52,,,0
53,,,0
54,,,0
55,,,0
56,,,0
57,,,0
58,2092,166,1
59,2093,166,1
60,2093,166,1
61,2093,166,1
62,2093,166,1
63,2093,166,1
64,2093,166,1
65,2092,166,1
66,2092,166,1
67,2092,166,1
68,,,0
69,2091,165,1
70,,,0
71,,,0
72,,,0
73,,,0
74,,,0
75,,,0
76,,,0
77,,,0
78,,,0
79,,,0
80,,,0
81,,,0
82,,,0
83,,,0
84,,,0
85,,,0
86,,,0
87,,,0
88,,,0
89,,,0
90,,,0
91,,,0
92,,,0
93,,,0
94,,,0
95,,,0
96,,,0
97,,,0
98,,,0
99,,,0
100,,,0
101,,,0
102,,,0
103,,,0
104,,,0
105,,,0
106,,,0
107,,,0
108,,,0
109,,,0
110,,,0
111,,,0
112,,,0
113,2094,165,1
114,,,0
115,,,0
116,,,0
117,,,0
118,,,0
119,,,0
120,,,0
121,,,0
122,,,0
123,,,0
124,,,0
125,,,0
126,1522,547,1
127,,,0
128,,,0
129,,,0
130,,,0
131,,,0
132,,,0
133,,,0
134,,,0
135,,,0
136,,,0
137,,,0
138,,,0
139,2092,165,1
140,,,0
141,,,0
142,,,0
143,,,0
144,,,0
145,,,0
146,,,0
147,,,0
148,,,0
149,,,0
150,,,0
151,,,0
152,,,0
153,,,0
154,,,0
155,2092,165,1
156,2092,165,1
157,2092,165,1
158,2093,165,1
159,2092,166,1
160,2092,166,1
161,2093,165,1
162,2092,164,1
163,2092,165,1
164,2092,166,1
